Date,Region,Type,Units,Sales
2020-12-31,East,Women's Clothing,35.0,112
2020-12-29,East,Women's Clothing,17.0,154
2020-12-29,East,Women's Clothing,30.0,225
2020-12-28,East,Children's Clothing,3.0,78
2020-12-26,East,Men's Clothing,3.0,48
2020-12-25,East,Children's Clothing,25.0,475
2020-12-25,East,Men's Clothing,13.0,403
2020-12-24,East,Children's Clothing,7.0,924
2020-12-23,East,Women's Clothing,22.0,208
2020-12-22,East,Children's Clothing,22.0,285
2020-12-20,East,Women's Clothing,30.0,930
2020-12-19,East,Men's Clothing,6.0,171
2020-12-18,East,Children's Clothing,9.0,238
2020-12-17,East,Women's Clothing,26.0,60
2020-12-17,East,Women's Clothing,16.0,100
2020-12-17,East,Women's Clothing,8.0,522
2020-12-17,East,Men's Clothing,35.0,432
2020-12-16,East,Children's Clothing,4.0,324
2020-12-15,East,Children's Clothing,19.0,450
2020-12-14,East,Children's Clothing,35.0,125
2020-12-14,East,Men's Clothing,13.0,294
2020-12-13,East,Men's Clothing,17.0,204
2020-12-13,East,Men's Clothing,11.0,546
2020-12-12,East,Children's Clothing,30.0,560
2020-12-12,East,Women's Clothing,9.0,624
2020-12-11,East,Women's Clothing,33.0,276
2020-12-09,East,Women's Clothing,26.0,140
2020-12-09,East,Children's Clothing,23.0,1122
2020-12-08,East,Women's Clothing,17.0,126
2020-12-08,East,Women's Clothing,19.0,513
2020-12-06,East,Children's Clothing,27.0,702
2020-12-06,East,Women's Clothing,31.0,600
2020-12-05,East,Women's Clothing,10.0,320
2020-12-05,East,Women's Clothing,35.0,247
2020-12-03,East,Children's Clothing,9.0,117
2020-12-03,East,Women's Clothing,30.0,95
2020-12-02,East,Children's Clothing,19.0,756
2020-12-01,East,Children's Clothing,25.0,192
2020-11-30,East,Women's Clothing,6.0,288
2020-11-27,East,Children's Clothing,32.0,342
2020-11-26,East,Women's Clothing,22.0,440
2020-11-24,East,Children's Clothing,13.0,319
2020-11-23,East,Women's Clothing,25.0,93
2020-11-23,East,Women's Clothing,20.0,132
2020-11-22,East,Women's Clothing,19.0,132
2020-11-19,East,Women's Clothing,8.0,256
2020-11-18,East,Children's Clothing,8.0,990
2020-11-17,East,Women's Clothing,15.0,868
2020-11-13,East,Children's Clothing,3.0,72
2020-11-12,East,Men's Clothing,26.0,624
2020-11-09,East,Men's Clothing,21.0,495
2020-11-08,East,Women's Clothing,28.0,252
2020-11-08,East,Women's Clothing,18.0,352
2020-11-07,East,Men's Clothing,20.0,754
2020-11-06,East,Women's Clothing,23.0,561
2020-11-05,East,Children's Clothing,26.0,325
2020-11-05,East,Children's Clothing,14.0,578
2020-11-05,East,Women's Clothing,11.0,250
2020-11-04,East,Children's Clothing,31.0,918
2020-11-04,East,Women's Clothing,25.0,930
2020-11-04,East,Men's Clothing,19.0,475
2020-11-03,East,Children's Clothing,34.0,374
2020-11-01,East,Children's Clothing,6.0,448
2020-11-01,East,Women's Clothing,7.0,945
2020-10-28,East,Men's Clothing,7.0,182
2020-10-28,East,Men's Clothing,34.0,390
2020-10-28,East,Men's Clothing,34.0,986
2020-10-28,East,Men's Clothing,18.0,391
2020-10-27,East,Men's Clothing,25.0,168
2020-10-27,East,Children's Clothing,18.0,450
2020-10-26,East,Men's Clothing,9.0,440
2020-10-26,East,Women's Clothing,4.0,442
2020-10-25,East,Women's Clothing,26.0,336
2020-10-21,East,Men's Clothing,7.0,133
2020-10-20,East,Men's Clothing,32.0,928
2020-10-19,East,Children's Clothing,19.0,198
2020-10-18,East,Women's Clothing,19.0,399
2020-10-18,East,Women's Clothing,25.0,324
2020-10-18,East,Men's Clothing,23.0,128
2020-10-18,East,Women's Clothing,13.0,338
2020-10-17,East,Children's Clothing,29.0,377
2020-10-17,East,Women's Clothing,23.0,525
2020-10-16,East,Women's Clothing,14.0,308
2020-10-16,East,Children's Clothing,30.0,475
2020-10-16,East,Men's Clothing,14.0,575
2020-10-14,East,Women's Clothing,12.0,378
2020-10-14,East,Children's Clothing,17.0,225
2020-10-11,East,Children's Clothing,7.0,1015
2020-10-09,East,Men's Clothing,30.0,232
2020-10-09,East,Women's Clothing,28.0,429
2020-10-08,East,Men's Clothing,33.0,272
2020-10-07,East,Women's Clothing,31.0,104
2020-10-07,East,Women's Clothing,15.0,754
2020-10-07,East,Men's Clothing,23.0,990
2020-10-06,East,Children's Clothing,11.0,162
2020-10-05,East,Men's Clothing,8.0,270
2020-10-04,East,Men's Clothing,35.0,350
2020-10-04,East,Women's Clothing,34.0,342
2020-10-02,East,Women's Clothing,19.0,231
2020-10-02,East,Men's Clothing,23.0,72
2020-10-02,East,Women's Clothing,24.0,390
